Date_NodeID	1_0
20220901	0.5
20220902	0.5
20220903	0.5
20220904	0.5
20220905	0.5
20220906	0.5
20220907	0.5
20220908	0.5
20220909	0.5
20220910	0.5
20220911	0.5
20220912	0.5
20220913	0.5
20220914	0.5
20220915	0.5
20220916	0.5
20220917	0.5
20220918	0.5
20220919	0.5
20220920	0.5
20220921	0.5
20220922	0.5
20220923	0.5
20220924	0.5
20220925	0.5
20220926	0.5
20220927	0.5
20220928	0.5
20220929	0.5
20220930	0.5
20221001	0.5
20221002	0.5
20221003	0.5
20221004	0.5
20221005	0.5
20221006	0.5
20221007	0.5
20221008	0.5
20221009	0.5
20221010	0.5
20221011	0.5
20221012	0.5
20221013	0.5
20221014	0.5
20221015	0.5
20221016	0.5
20221017	0.5
20221018	0.5
20221019	0.5
20221020	0.5
20221021	0.5
20221022	0.5
20221023	0.5
20221024	0.5
20221025	0.5
20221026	0.5
20221027	0.5
20221028	0.5
20221029	0.5
20221030	0.5
20221031	0.5
20221101	0.5
20221102	0.5
20221103	0.5
20221104	0.5
20221105	0.5
20221106	0.5
20221107	0.5
20221108	0.5
20221109	0.5
20221110	0.5
20221111	0.5
20221112	0.5
20221113	0.5
20221114	0.5
20221115	0.5
20221116	0.5
20221117	0.5
20221118	0.5
20221119	0.5
20221120	0.5
20221121	0.5
20221122	0.5
20221123	0.5
20221124	0.5
20221125	0.5
20221126	0.5
20221127	0.5
20221128	0.5
20221129	0.5
20221130	0.5
20221201	0.5
20221202	0.5
20221203	0.5
20221204	0.5
20221205	0.5
20221206	0.5
20221207	0.5
20221208	0.5
20221209	0.5
20221210	0.5
20221211	0.5
20221212	0.5
20221213	0.5
20221214	0.5
20221215	0.5
20221216	0.5
20221217	0.5
20221218	0.5
20221219	0.5
20221220	0.5
20221221	0.5
20221222	0.5
20221223	0.5
20221224	0.5
20221225	0.5
20221226	0.5
20221227	0.5
20221228	0.5
20221229	0.5
20221230	0.5
20221231	0.5
20230101	0.5
20230102	0.5
20230103	0.5
20230104	0.5
20230105	0.5
20230106	0.5
20230107	0.5
20230108	0.5
20230109	0.5
20230110	0.5
20230111	0.5
20230112	0.5
20230113	0.5
20230114	0.5
20230115	0.5
20230116	0.5
20230117	0.5
20230118	0.5
20230119	0.5
20230120	0.5
20230121	0.5
20230122	0.5
20230123	0.5
20230124	0.5
20230125	0.5
20230126	0.5
20230127	0.5
20230128	0.5
20230129	0.5
20230130	0.5
20230131	0.5
20230201	0.5
20230202	0.5
20230203	0.5
20230204	0.5
20230205	0.5
20230206	0.5
20230207	0.5
20230208	0.5
20230209	0.5
20230210	0.5
20230211	0.5
20230212	0.5
20230213	0.5
20230214	0.5
20230215	0.5
20230216	0.5
20230217	0.5
20230218	0.5
20230219	0.5
